pathway	A011.337.951	A011.796.405	A065.688.849	A139.426.047	A257.868.269	A290.419.594	A328.260.254	A328.607.302	A475.161.163	A510.125.355	A517.753.353	A519.936.442	A603.130.471	A603.362.293	A627.062.688	A674.187.094	A712.481.521	A742.300.741	A750.812.113	A866.438.792	A896.860.089	A912.362.107	A912.836.594	A929.187.519	description
OANTIGEN-PWY	34292.7704	15064.9682	29335.7445	25508.5607	26254.232999999997	20582.3736	25012.7596	23114.482999999997	26127.4896	8742.2894	26833.2341	30332.0197	29700.6145	22721.3312	24058.0106	25072.1538	27267.7918	26545.0295	19978.8581	21770.3999	28543.1987	28898.0653	28539.9173	26284.9275	O-antigen building blocks biosynthesis (E. coli)
ORNARGDEG-PWY	75.0237	2.6051	0.0	145.0335	8.3178	0.0	1395.7455	15.324000000000002	0.9285	3305.8351	299.3653	319.1296	0.4666	15.5761	8.9132	17.535999999999998	32.1342	1722.3638	410.6191	0.0	156.9526	61.0234	74.4006	22.1082	superpathway of L-arginine and L-ornithine degradation
ORNDEG-PWY	71.0392	2.5789	0.0	138.8628	7.1849	0.0	1160.8498	13.1874	0.7998	3597.636	286.5272	308.2057	0.4	18.7214	13.968	21.4425	27.8772	1602.8694	498.6057	0.0	138.2752	69.7642	80.4088	20.3852	superpathway of ornithine degradation
P105-PWY	495.4212	19.2322	7007.2255	844.8439999999999	361.4318	215.245	6393.2318	781.9407	5.9984	12263.5255	1644.3526	2038.1634	2.9989	138.2794	71.0914	158.7647	1808.8964	9526.9569	3281.8744	0.0	5323.4864	312.0358	497.0015	124.7507	TCA cycle IV (2-oxoglutarate decarboxylase)
P108-PWY	20976.3378	23900.0355	15087.0741	41168.0941	37161.6938	47981.0996	26740.7613	49626.6354	31316.4144	19544.3767	33272.8188	34346.2913	22838.4408	35465.9894	19048.3997	23195.7332	32525.7161	29932.4136	34235.142	39741.5677	31474.6587	28933.9338	32039.452	22498.1988	pyruvate fermentation to propanoate I
P122-PWY	8634.5485	2437.2343	3918.4637	1820.7276	3384.1164	1633.3452	6537.7448	1418.2111	2121.521	400.6212	3587.6551	5617.054	8346.5408	2631.0185	4132.4931	5923.3039	7241.3677	10852.7339	7821.978	1745.2491	3391.4976	6615.9983	5551.4248	6438.8128	heterolactic fermentation
P124-PWY	11487.7645	2832.8488	4904.7081	2096.9812	3909.5216	1873.8541	8003.5647	1633.2617	2471.6574	459.4323	4207.2247	6718.7041	10501.2836	3054.3347	5172.9419	7884.166	8944.3245	13592.421	9373.2097	2010.5913	3985.8746	8238.7936	6561.4695	8469.8894	Bifidobacterium shunt
P125-PWY	130.7695	72.2314	1.8733	212.2392	37.4699	118.4886	43.678999999999995	0.0	16.4454	85.9861	7.2736	55.4358	7.1173	77.2769	44.5775	41.3965	35.741	147.5604	271.6595	9.3546	23.8734	9.868	338.1812	43.0887	superpathway of (R,R)-butanediol biosynthesis
P161-PWY	29012.6831	7725.3253	30642.1106	14674.157	21383.2369	16072.4736	24801.086	7028.7502	27934.708	12079.2173	25209.6635	26120.6136	25586.0436	16156.0835	19427.8864	20670.4016	19364.0388	19685.8763	15827.8755	16229.0226	18782.552	28497.9541	22625.1282	24044.064	acetylene degradation
P162-PWY	1514.7321	144.5286	372.9636	1122.7003	129.8233	657.3851	570.5097	123.5005	270.8368	241.7119	570.8184	591.0087	84.1041	191.2937	1595.399	376.7627	375.8922	653.717	1093.2308	371.9643	497.8835	214.5876	187.9184	1892.6014	L-glutamate degradation V (via hydroxyglutarate)
P163-PWY	6128.8883	165.8535	215.829	1759.3992	443.3488	1683.9431	1587.3123	432.6145	1075.5637	49.0793	1539.2817	502.6455	1016.3609	1104.0747	2002.7217	1116.0164	2021.6868	1890.6576	1300.8456	2123.1505	689.9993	1863.1760000000002	401.8728	1070.9574	L-lysine fermentation to acetate and butanoate
P164-PWY	12023.9318	3158.0457	6229.8675	7828.1674	6343.1763	9936.3989	8249.719000000001	3678.0795	6958.4701	5768.9554	6061.0941	7618.0969	6215.9955	6992.1594	5277.0265	7655.6117	7227.6815	10205.3792	4495.5547	4409.495	7947.3837	7925.9971	5181.4384	6494.5122	purine nucleobases degradation I (anaerobic)
P221-PWY	845.666	959.6104	594.5321	0.0	708.5375	1715.3355	380.8767	401.9396	71.9151	138.793	641.3349	2273.8588	222.739	586.2767	697.9223	575.3473	73.8744	1004.4563	619.3213	354.4428	2803.2934	111.6998	954.055	139.4778	octane oxidation
P23-PWY	8249.1933	2490.7025	6111.9972	2054.0455	4573.4373	2454.8379999999997	8795.5075	1804.1619	8346.1705	11494.7895	3842.6362	5045.7758	5720.8249	1360.2769	4408.3113	3616.7159	5381.821999999999	10452.0512	7042.9023	2645.2231	9101.29	4702.071	7414.4875	3147.9754	reductive TCA cycle I
P241-PWY	354.4607	0.0	0.0	0.0	0.0	0.0	212.8341	0.0	0.0	0.0	0.0	0.0	0.0	10.4412	44.0732	56.4422	23.1003	52.7398	195.3558	0.0	0.0	41.7909	0.0	5.2441	coenzyme B biosynthesis
P261-PWY	361.0631	0.7998	0.0	0.0	0.0	0.0	202.7843	0.0	0.0	0.0	1.9996	0.0	0.0	9.5644	41.9079	44.7943	30.4637	56.4752	195.5277	0.0	0.0	35.3463	0.0	7.6764	coenzyme M biosynthesis I
P281-PWY	11.3924	0.5779	318.9178	107.3191	0.0	0.0	0.0	42.9289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.1697	118.0456	10.3217	0.0	62.6541	0.0	0.0	11.2879	3-phenylpropanoate degradation
P341-PWY	209.4346	1.25	3.7498	0.0	0.0	6.2496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.2495	0.0	0.0	0.0	0.0	0.0	0.0	18.7451	glycolysis V (Pyrococcus)
P381-PWY	0.0	0.0	0.0	0.0	0.0	0.0	30.9827	0.0	0.0	0.0	0.0	0.0	0.0	29.0046	19.3717	28.5257	0.0	398.5446	1314.2646	0.0	0.0	19.3321	48.0201	0.0	adenosylcobalamin biosynthesis II (late cobalt incorporation)
P4-PWY	17194.9052	11138.6511	14746.1418	17259.3595	11040.7559	12334.0262	15580.2449	12011.7934	11778.2374	9739.2011	13741.7737	19565.5298	15804.431	16298.079	15473.268	16431.2426	13227.2585	19335.4763	12875.1454	13130.9571	19432.289	14569.7773	21376.0685	12626.3185	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I
P42-PWY	35316.3756	39401.7349	26663.0742	56977.46599999999	54215.8161	61961.4166	39265.6962	61460.6793	44757.2651	22109.7076	46245.3397	49099.9653	38459.8841	53694.5709	30518.3093	35820.7045	45418.0978	45607.4088	47141.8041	54520.8813	51100.8661	42498.8612	52264.9209	31541.8486	incomplete reductive TCA cycle
P441-PWY	15445.4187	12678.7293	11100.4964	17880.6392	13885.1906	20238.5546	16387.9012	16526.5444	13146.0435	12807.806	12778.9066	18685.5572	10724.471000000001	18902.6382	15076.3446	15106.4175	9302.7542	20122.9601	10014.1391	11703.8394	23139.0517	13828.9868	22169.9878	14438.8479	superpathway of N-acetylneuraminate degradation
P461-PWY	3438.0654	349.8584	1814.6323	1106.3965	1384.046	1903.7497	4309.3226	8929.2347	484.7691	7679.133000000001	4325.6824	5973.5031	2198.9629999999997	3557.0682	2755.3982	2811.4319	1407.8516	3741.0547	2878.282	1220.8856	966.1419	1668.5904	5829.514	1084.1823	hexitol fermentation to lactate, formate, ethanol and acetate
P562-PWY	391.9215	188.4502	373.0913	568.6378	328.0502	436.6797	356.2862	344.7925	291.3647	143.4421	680.0431	1249.0309	239.1444	357.8843	789.0257	273.1707	450.3149	373.3336	312.0546	414.5735	193.14700000000002	70.2687	763.1628	647.0015	myo-inositol degradation I
PANTO-PWY	35212.032999999996	22860.833	28239.1608	29851.6346	35637.013	40730.6146	27993.6145	41954.3778	26063.5276	15890.2585	35162.9478	32648.2113	28512.9929	30172.0706	22606.8044	27300.2659	32133.7644	30644.0624	30333.7423	33608.349	33713.0911	29934.2103	29494.5432	24867.408	phosphopantothenate biosynthesis I
PANTOSYN-PWY	35048.3547	24211.4434	30676.1536	32152.0517	36627.6629	40273.4188	29597.2377	41820.2348	29901.5088	16557.0404	36019.2641	33603.1919	30178.6359	32019.192000000003	24853.5616	28982.0101	33295.2865	31696.5163	30925.6115	34656.7732	35871.2154	31396.1884	31882.057999999997	25503.7994	pantothenate and coenzyme A biosynthesis I
PENTOSE-P-PWY	17459.2774	19760.5263	12872.6604	29152.647999999997	33222.9506	39158.1561	21945.8852	28713.8588	25390.7306	11178.8463	29331.7488	27811.2576	21810.3518	27841.3702	13755.3211	13091.9159	24832.3018	24207.6415	25607.0448	32089.1958	25088.241	21486.8488	27350.7957	15887.9702	pentose phosphate pathway
PEPTIDOGLYCANSYN-PWY	42504.3823	27532.9601	38886.0508	39265.3822	42319.831	43683.8832	36501.3	44527.3393	42885.4567	15530.2366	42028.0157	43606.3656	39500.9213	37832.3953	33171.012	36142.355	40510.3644	38204.7028	34325.1414	38963.5059	42257.1038	40684.3716	40730.9725	36113.2634	peptidoglycan biosynthesis I (meso-diaminopimelate containing)
PHOSLIPSYN-PWY	41914.791	23752.9153	41686.4941	35730.1905	40312.8161	40719.879	35577.2268	38338.6339	43121.0003	19741.4507	44127.5623	42618.3942	40125.46	35746.9537	32904.6228	35523.7308	39718.6863	36551.6243	32574.9695	36432.1892	41585.6499	40268.4286	38490.108	37254.4596	superpathway of phospholipid biosynthesis I (bacteria)
POLYAMINSYN3-PWY	2999.6785	1837.3298	4543.617	2682.2456	3837.3976	4460.4038	3919.2819	4093.0483	3569.0867	5820.0872	3052.8079	4897.8262	6040.9395	4181.3632	5792.8923	4865.9063	2041.0937	3520.2609	1945.0578	3438.5959999999995	5974.2959	3634.1593	5742.9252	4325.6155	superpathway of polyamine biosynthesis II
POLYAMSYN-PWY	3153.3502	3299.7006	4577.162	10434.2786	3753.7868	6031.6651	4564.6442	8958.1415	3597.9288	5643.8707	2894.4529	5766.3341	6059.6107	4373.7169	6026.5765	4981.3138	1993.7193	7178.2065	1812.8999	3417.2083	6507.6952	3850.6329	7913.8084	4274.7879	superpathway of polyamine biosynthesis I
POLYISOPRENSYN-PWY	25952.174	24717.3097	21686.8324	33298.3341	34174.5784	37116.0612	27173.6749	39479.5846	31529.1675	16357.2598	31069.5447	31766.8399	25886.8367	32411.1125	22817.5556	27076.9027	29768.0427	29840.9243	29726.9318	32959.0479	34603.1672	28521.4321	31956.1917	21971.9891	polyisoprenoid biosynthesis (E. coli)
PPGPPMET-PWY	660.0988	234.7266	0.0	537.0028	158.5757	39.9714	2148.8443	128.7978	1.0	3773.0566	519.6292	682.4774	50.453	28.4819	438.7658	50.4556	37.9699	2142.5246	522.0933	0.0	2398.9391	885.9304	83.3881	717.2682	ppGpp biosynthesis
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	11.2322	0.0	0.0	134.4815	31.087	0.0	4.7998	0.0	0.0	0.0	0.0	0.0	0.0	11.6939	3.1999	10.4989	27.2366	100.7007	286.4636	0.0	2.4	6.9995	19.2511	11.5987	protocatechuate degradation II (ortho-cleavage pathway)
PRPP-PWY	12220.5896	12364.5169	16949.6172	21409.5579	8783.0262	935.4167	15102.8754	19306.0502	21368.662	13973.9951	11604.1376	16088.9888	15864.8351	18031.4966	15711.725	20301.5223	14948.0275	19721.8522	15184.7461	15905.6836	21853.5076	18105.0016	23675.1016	11134.1131	superpathway of histidine, purine, and pyrimidine biosynthesis
PWY-1269	14151.9727	20681.9196	11415.4675	29482.8677	24530.6217	29831.067000000003	16966.7819	38315.6699	20659.7633	14709.7424	19475.0115	20864.0501	14648.237	24625.1718	14846.975	17719.5058	19524.4596	24430.5866	22305.7488	25969.2178	25528.3145	17094.2242	22539.9557	12865.6833	CMP-3-deoxy-D-manno-octulosonate biosynthesis I
PWY-1541	0.0	2.6335	0.0	0.0	0.0	0.0	86.604	0.0	0.9565	0.0	20.4792	0.0	0.0	46.8966	2.4751	0.0	0.0	0.0	0.0	0.0	167.833	0.0	45.6198	8.4174	superpathway of taurine degradation
PWY-1622	0.0	2.4817	0.0	0.0	0.0	0.0	62.6019	0.0	5.3795	0.0	0.0	0.0	0.0	0.0	12.4839	80.9335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.8148	formaldehyde assimilation I (serine pathway)
PWY-181	758.9679	509.3842	0.0	0.0	0.0	0.0	615.9156	354.7249	18.6132	0.0	63.6319	0.0	0.0	2307.1838	39.9154	177.7656	0.0	206.2542	0.0	0.0	3727.7837	0.0	204.7376	119.1126	photorespiration
PWY-1861	2281.4073	2009.5405	2338.7252	1408.7454	1776.3578	2792.8493	5320.6359999999995	998.0617	414.0737	1750.3368	844.1234	5626.4392	1452.3467	2878.5263	2512.6256	3928.7205	2880.5452	1572.7556	2159.4904	520.7079	548.0153	358.3418	3643.4663	956.8932	formaldehyde assimilation II (RuMP Cycle)
PWY-2941	5611.1385	7619.2674	3691.1588	10315.563	2524.2211	4230.8097	3384.1276	6330.0624	1859.2594	623.5808	2411.0839	3261.1092	8181.5674	6171.3673	5677.3948	8362.1426	5079.5801	10756.6555	5902.8469	3896.9447	8829.6136	1301.1211	14743.559	1247.2397	L-lysine biosynthesis II
PWY-2942	46804.2942	31950.6241	43532.8072	44759.5587	50457.3463	51752.1472	41168.3883	50160.9383	50843.7653	20400.6143	47652.0088	49490.5958	44486.9642	44374.0384	36796.3026	40497.0707	45874.3402	42344.7029	39658.7382	45392.3284	49201.8248	45156.7028	46375.4081	38954.8417	L-lysine biosynthesis III
PWY-3001	47207.2664	31790.175	42285.6014	43141.2835	48906.2206	50239.105	41717.8429	50800.2366	47893.0255	17912.5446	48850.66	48731.7271	44083.0698	43705.3052	36155.7968	40240.2977	44945.5045	40569.653	39408.3063	43761.3314	45396.7632	44608.6867	43938.6501	39270.6505	superpathway of L-isoleucine biosynthesis I
PWY-3781	5454.0315	137.8425	12692.4987	114.9174	188.7742	106.443	5271.8266	2771.1697	20297.1407	0.0	852.1039999999999	5228.6887	297.1191	2275.2909	1356.6612	4725.2586	3071.5098	7490.4973	5074.6593	2174.9003	6854.3929	622.5741	317.2147	449.3882	aerobic respiration I (cytochrome c)
PWY-4361	0.0	1.6759	0.0	0.0	0.0	0.0	0.0	22.7734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation
PWY-4722	20.1181	0.0	0.0	45.4462	0.0	17.8043	0.0	0.0	0.0	54.9917	8.2355	15.2782	0.0	35.5119	0.0	0.0	0.0	0.0	0.0	6.8233	0.0	0.0	0.0	40.1657	creatinine degradation II
PWY-4984	5702.0064	9080.8492	7296.2644	10636.0523	4183.1959	3707.7201	5900.2298	1034.9207	8079.0372	3776.955	11470.1882	6702.0115	2421.6101	11907.3006	4101.3647	5743.5914	2688.6723	4125.1278	7929.5055	11074.2799	5325.781	5170.3457	6565.6688	9949.2625	urea cycle
PWY-5005	2089.9702	221.2571	500.0876	8527.0852	2402.5523	11015.1711	1190.9709	9568.7857	1360.1942	1835.1775	1434.1822	3600.6591	576.0448	1786.2183	3310.6087	1548.3858	1149.4754	2487.6853	1384.9674	336.6293	3491.2596	801.0105	1582.3301	3382.0694	biotin biosynthesis II
PWY-5022	1912.6078	134.4656	964.898	1656.951	905.1099	983.3485	2250.2774	2363.0295	781.525	1559.6303	842.4662	1297.7736	1268.5718	799.9404	1726.9509	1485.6447	844.4394	4558.3535	1049.1185	432.0838	1172.3386	605.1939	613.594	1662.7472	4-aminobutanoate degradation V
PWY-5028	0.0	0.0	0.0	171.6989	0.0	32.4799	7.497000000000001	0.0	0.0	49.7009	4.9992	800.8961	0.0	7.4985	4.9984	7.4964	34.9563	156.6551	419.4916	4.9994	3.7496	4.9991	12.4951	18.1053	L-histidine degradation II
PWY-5088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.7401	0.0	0.0	0.0	0.0	0.7194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L-glutamate degradation VIII (to propanoate)
PWY-5097	44313.8844	31311.3561	42761.8041	43954.9243	49087.8773	50723.2793	40306.4722	49820.3599	48655.486	20123.4203	46481.6211	48291.0964	43228.7752	42938.0225	35544.8409	39511.6505	44688.2084	40667.0317	37718.2674	44238.8841	48111.5026	43743.0032	45405.8712	38018.5306	L-lysine biosynthesis VI
PWY-5100	43458.3811	28113.2375	38873.3717	38480.6576	44305.4464	46391.0959	38989.6427	40257.8979	44467.2497	14530.9666	43832.6202	46256.8818	40786.9951	39548.1066	32965.5688	36078.5673	43296.8619	39644.8942	35521.0763	40038.7314	43442.77099999999	43626.1541	39602.439	38744.0845	pyruvate fermentation to acetate and lactate II
PWY-5101	52203.8116	33784.3487	48207.2292	47077.7557	53844.1226	53444.8508	46464.4109	54752.7753	55057.8719	23320.7191	57607.0296	55375.2666	49950.999	48831.2918	41257.6387	44322.0767	49342.1607	44355.0893	44168.7299	48518.4425	50177.9868	49394.072	49799.5129	44173.4698	L-isoleucine biosynthesis II
PWY-5103	45073.0547	29157.2341	41887.7469	40753.1112	47290.0819	47151.393	40604.2528	47371.9869	47370.8423	20563.7506	48795.7631	47711.4582	43327.3205	41779.1183	35864.0167	38429.235	43027.3458	38135.3636	39096.496	42250.4216	42026.9604	43399.1547	41758.2864	38991.3098	L-isoleucine biosynthesis III
PWY-5104	49200.7152	31259.6831	44724.0089	43914.5237	50441.8183	49357.7449	44395.9767	49915.6565	49805.1277	21320.8884	53051.4936	53001.6355	46967.9324	45766.1481	38336.2082	42110.6409	46388.4718	41371.5762	42162.3989	44738.0057	47068.6624	47543.5037	46742.1536	42083.725	L-isoleucine biosynthesis IV
PWY-5121	41672.6194	28359.5625	38256.9345	38980.1503	44304.6885	45827.4586	36143.2527	45737.3496	42645.6493	17178.9898	42353.5308	43464.7334	39302.5308	38720.1427	32900.3312	36024.9205	40723.3073	36896.0232	35581.5721	39894.4102	42474.0585	40084.6328	39670.4367	35419.5242	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)
PWY-5154	18136.7886	18262.2896	14990.9221	24694.9447	28048.937	30883.09	22115.8126	32221.7437	27770.0196	11249.926000000001	27960.2005	27404.452999999998	21838.4313	26808.8029	17675.9928	20868.3064	25243.4427	25123.8155	25744.3546	23883.9788	25402.2082	25087.9061	26595.7476	17131.3576	L-arginine biosynthesis III (via N-acetyl-L-citrulline)
PWY-5177	557.3511	50.5258	2212.8409	919.2144	247.3918	887.72	3278.2407	896.5255	3582.9684	3410.2599	915.8829	2205.7563	168.822	389.6412	310.894	1585.8737	1029.5907	3771.6378	1741.0148	727.4153	2079.085	427.561	241.9885	369.3315	glutaryl-CoA degradation
PWY-5180	72.1232	215.1858	0.0	132.7573	91.5945	0.0	1409.4808	50.0942	1.9996	2178.4994	319.986	320.1502	58.7629	46.0993	108.3681	50.7053	28.2867	1381.6205	685.9695	0.0	138.9842	224.0536	1151.802	28.9374	toluene degradation I (aerobic) (via o-cresol)
PWY-5181	0.0	0.0	0.0	95.5506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.3829	0.0	37.2795	0.0	2.0	0.0	0.0	9.9079	toluene degradation III (aerobic) (via p-cresol)
PWY-5182	72.1232	215.1858	0.0	132.7573	91.5945	0.0	1409.4808	50.0942	1.9996	2178.4994	319.986	320.1502	58.7629	46.0993	108.3681	50.7053	28.2867	1381.6205	685.9695	0.0	138.9842	224.0536	1151.802	28.9374	toluene degradation II (aerobic) (via 4-methylcatechol)
PWY-5188	24069.9838	7080.3473	19234.8863	13028.6474	14171.4057	12773.9229	17722.6016	13758.9527	12962.43	13448.4833	22835.4769	17151.0518	15903.9299	11814.7884	14801.0081	16866.7204	16749.615	14177.9492	13014.5658	7474.3333	15039.7248	13757.8502	14657.9019	15377.0523	tetrapyrrole biosynthesis I (from glutamate)
PWY-5189	21790.4139	6700.2063	18429.3328	12005.2515	13216.3842	12282.8594	16481.1328	13273.1541	11751.6557	13025.1665	21785.6451	16372.5364	14290.5267	10338.5899	13205.8696	15699.0359	14504.4264	12793.454	11820.2023	7275.9222	13504.8509	12563.3619	14018.1303	14053.675	tetrapyrrole biosynthesis II (from glycine)
PWY-5198	263.3912	0.0	0.0	0.0	0.0	0.0	137.4545	0.0	0.0	0.0	0.0	0.0	0.0	6.5455	26.1818	28.3636	14.9893	39.2727	132.0	0.0	0.0	23.4545	0.0	3.2727	factor 420 biosynthesis
PWY-5265	606.3764	2539.436	59.0743	42.2278	300.6343	82.7098	1486.5643	0.0	105.2885	92.3593	46.6511	88.6601	46.1446	78.404	666.7722	1394.0079	2107.4438	1690.7376	474.6106	0.0	0.0	35.7132	0.0	79.0592	peptidoglycan biosynthesis II (staphylococci)
PWY-5304	5185.0	4562.0	6624.0	5628.0	7947.0	2043.0	3490.32	6673.0	3088.66	301.0	9034.0	6216.34	7622.0	5603.8	3635.0	2827.34	2535.66	5237.0	1053.0	3941.0	6985.0	4767.0	5653.0	4130.66	superpathway of sulfur oxidation (Acidianus ambivalens)
PWY-5345	9638.1366	1506.8616	6948.844	5084.6446	2718.3455	353.4843	11126.2516	1803.0557	8187.6102	16126.6745	11856.7942	13621.0838	5951.512	7927.7242	7443.7133	10132.2905	8478.6649	10362.9743	14904.9079	8189.2047	6655.8094	8207.545	3044.5519	6880.4218	superpathway of L-methionine biosynthesis (by sulfhydrylation)
PWY-5347	15142.0248	12877.2832	11400.7493	19784.9376	15041.5047	18915.9628	14886.2768	19184.8528	8473.6931	13981.7159	10041.5665	22447.438	14252.9138	17398.1008	16502.6761	14052.4981	10751.4921	23902.7696	12042.4619	12339.9808	21666.4309	11351.4758	24007.6227	11365.665	superpathway of L-methionine biosynthesis (transsulfuration)
PWY-5384	8485.9127	3110.4148	15994.3149	9264.6495	16882.5031	7425.8718	8587.37	4542.2628	23782.703999999998	13249.8406	16988.9598	18849.0647	21002.4537	8929.6351	13418.1225	6526.5623	7478.7721	7151.5968	8893.4945	11975.8747	14169.0779	12138.4851	14906.4917	10707.5931	sucrose degradation IV (sucrose phosphorylase)
PWY-5415	18.48	2.487	0.0	7.3259	8.6582	0.0	198.7167	14.5543	0.8333	4.9938	80.2834	26.5686	0.4983	19.5026	7.2959	21.2089	15.8336	422.4942	69.94	0.0	72.4876	72.3984	73.7867	18.9118	catechol degradation I (meta-cleavage pathway)
PWY-5417	0.0	0.0	0.0	0.0	0.0	0.0	3.8953	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	3.3086	0.0	63.2114	171.6326	0.0	0.0	2.1953	5.9538	0.0	catechol degradation III (ortho-cleavage pathway)
PWY-5419	0.0	0.0	0.0	0.0	0.0	0.0	11.5708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	catechol degradation to 2-oxopent-4-enoate II
PWY-5420	0.0	0.0	0.0	0.0	0.0	0.0	20.1498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	catechol degradation II (meta-cleavage pathway)
PWY-5430	0.0	0.0	0.0	0.0	0.0	0.0	7.4217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	meta cleavage pathway of aromatic compounds
PWY-5431	0.0	0.0	0.0	0.0	0.0	0.0	3.8953	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	3.3086	0.0	63.2114	171.6326	0.0	0.0	2.1953	5.9538	0.0	aromatic compounds degradation via &beta;-ketoadipate
PWY-5484	30410.4704	27975.7585	26059.1555	38028.2641	42459.3472	45466.0546	32809.9269	37116.9883	35223.7983	20526.0341	37449.3731	38772.2167	33464.1507	38440.0119	23750.7703	26479.7353	33583.628	37705.9039	37716.8088	41337.9309	33510.0159	34600.712	37684.3043	27742.2385	glycolysis II (from fructose 6-phosphate)
PWY-5505	17337.374	12776.0611	32195.1151	24349.1916	33159.2052	31324.0636	22476.7155	14652.8543	32851.0079	8807.624	32912.7546	33444.2484	28233.6658	23029.8207	24911.7368	23450.5277	26802.8053	19172.7923	19308.8078	24666.9115	31019.2799	28749.3763	32280.3508	27800.8503	L-glutamate and L-glutamine biosynthesis
PWY-5507	0.0	0.0	0.0	0.0	0.0	0.0	599.2335	0.0	228.7044	0.0	0.0	0.0	0.0	64.3477	43.2563	58.5467	0.0	368.1838	1897.7676	0.0	0.0	42.9667	104.0803	0.0	adenosylcobalamin biosynthesis I (early cobalt insertion)
PWY-5509	31191.2675	21598.9022	30355.6913	30878.8789	37712.1798	42415.0303	26779.7421	37046.4746	35763.9097	12164.9599	36080.9365	38596.2336	35215.458	28669.0872	27247.9673	26933.998	32315.4899	27517.0184	26477.206000000002	32397.6815	31982.7404	33695.5368	31188.4096	32076.5088	adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I
PWY-5531	0.0	2.0358	70.0395	0.0	0.0	0.0	0.0	126.4063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.506	0.0	0.0	0.0	0.0	0.0	2.3105	0.0	chlorophyllide a biosynthesis II (anaerobic)
PWY-5532	113.2716	0.0	0.0	88.9251	17.4929	33.522	458.7089	458.5975	86.0775	0.0	0.0	49.2804	105.6328	296.0644	5.8717	9.8904	8.8165	50.5808	20.375	0.0	26.7634	8.4728	18.4199	27.9318	adenosine nucleotides degradation IV
PWY-5647	0.0	0.0	0.0	0.0	0.0	0.0	3.3333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2-nitrobenzoate degradation I
PWY-5654	0.0	0.0	0.0	0.0	0.0	0.0	3.4286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate
PWY-5659	37908.9708	27755.2856	26813.9677	32161.7282	31928.0615	37984.1087	32678.0466	44736.0378	28571.4264	18490.2068	31303.9788	33125.8017	28938.6788	35376.5242	26265.812	31661.3622	33339.8962	34285.0801	33887.1523	34052.8296	35349.0131	31390.8881	29677.5015	21231.9328	GDP-mannose biosynthesis
PWY-5667	45417.6966	27682.2809	45230.85	38769.8727	44503.619000000006	44473.9186	39359.799	43731.5109	47429.7155	21202.8518	48916.8926	48004.3365	44655.9712	38046.2605	36608.3985	40041.2135	42454.8935	39269.2953	35244.0141	39427.2014	45631.4662	44639.4787	42400.9551	39980.4207	CDP-diacylglycerol biosynthesis I
PWY-5676	11922.5635	3013.8972	7562.5484	10279.2657	4754.7918	6229.4612	9044.1914	2660.5939	5582.8817	2563.2232	8723.3068	10371.2775	12784.0698	7778.8503	9819.2604	8284.3519	10025.5461	8673.7687	3177.2295	6520.5511	6236.1739	11464.5873	9094.3504	13067.2085	acetyl-CoA fermentation to butanoate II
PWY-5677	3131.5365	593.643	515.5361	2126.6748	1179.1949	1248.8317	1046.3091	1339.2526	912.2107	583.4334	1087.3424	1694.3148	655.5741	782.285	2134.2821	1340.1752	1848.8199	2221.82	682.6289999999999	1687.6047	1093.1487	711.1827	548.1237	2135.8586	succinate fermentation to butanoate
PWY-5686	45886.7414	30126.757	43674.5308	43259.6118	48278.2421	49142.5945	40778.3604	49722.505	48035.5626	20964.045	46854.7572	47762.225	44115.3385	42485.4433	36284.1691	40044.7384	45289.475999999995	41721.837999999996	39597.4069	43711.2838	46273.0039	43619.8477	45527.3779	39070.6671	UMP biosynthesis
