PID	A011.337.951	A011.796.405	A065.688.849	A139.426.047	A257.868.269	A290.419.594	A328.260.254	A328.607.302	A475.161.163	A510.125.355	A517.753.353	A519.936.442	A603.130.471	A603.362.293	A627.062.688	A674.187.094	A712.481.521	A742.300.741	A750.812.113	A866.438.792	A896.860.089	A912.362.107	A912.836.594	A929.187.519	Pathway	Pathway1	Pathway2
ko05142	651.6	59.19	409.75	111.83	402.9	45.64	1329.91	34.1	2022.9	2957.41	225.63	501.4	560.95	12.4	310.75	101.77	147.87	1394.79	930.54	30.0	171.3	39.36	366.55	68.25	Chagas disease	Human Diseases	Infectious disease: parasitic
ko03110	945697.9099999998	809045.7600000002	886445.5600000002	1097859.8100000005	1151955.320000001	1231811.2700000005	923049.6800000006	1271361.5200000005	1087894.8099999994	574721.4	1089606.9699999988	1091512.4499999993	957190.8499999994	1043910.4600000009	797277.2999999998	902532.92	973043.0399999992	967741.6499999997	952349.4500000005	1095688.8499999999	1127935.010000001	983061.5499999991	1091544.2399999993	816834.9200000002	Chaperones and folding catalysts	Brite Hierarchies	Protein families: genetic information processing
ko05204	391.65000000000003	49.559999999999995	6626.5	425.0	19.200000000000003	114.84	4236.78	639.4000000000002	1512.6	13826.060000000001	651.38	1514.6000000000001	1.8	102.60000000000001	111.0	816.22	1491.3	5213.14	3019.45	724.0	3880.2	209.34	294.0	80.0	Chemical carcinogenesis	Human Diseases	Cancer: overview
ko00625	55369.04	34636.84	53495.659999999996	67040.19	60422.24	61179.31999999999	58115.81	56402.12999999999	79920.73	33208.01	58369.84	71198.87	61466.46000000001	47740.19	53345.59	53963.28999999999	49290.16	51136.50000000001	42357.4	52352.67999999999	55588.06999999999	61142.420000000006	66518.6	54906.57000000001	Chloroalkane and chloroalkene degradation	Metabolism	Xenobiotics biodegradation and metabolism
ko00361	5940.3	2204.19	6682.5	8193.5	3807.3	2940.54	7956.969999999999	1839.1599999999999	6804.7	7271.81	8032.11	8406.470000000001	7938.1	5168.21	6200.25	5807.9400000000005	5834.450000000001	10221.19	3837.33	6074.25	6653.25	6322.82	7408.22	7554.83	Chlorocyclohexane and chlorobenzene degradation	Metabolism	Xenobiotics biodegradation and metabolism
ko05231	21749.350000000002	16260.02	16901.4	26562.8	25901.269999999997	25719.53	22255.61	28491.35	22642.4	11641.779999999999	16776.620000000003	24442.07	19452.780000000002	21546.050000000003	13155.33	20498.02	22163.760000000002	17605.8	23871.769999999997	23684.0	21963.5	19320.52	26651.1	18096.6	Choline metabolism in cancer	Human Diseases	Cancer: overview
ko03036	1479663.3299999996	1111077.2400000005	1427504.4700000002	1550290.83	1677373.6000000006	1725716.4600000004	1346110.6200000008	1726716.8700000015	1643847.89	689246.9999999995	1589505.3199999982	1639072.619999999	1490779.0599999991	1488869.4700000004	1212472.77	1332645.4100000001	1481423.6799999985	1422271.1099999992	1312245.7900000007	1540640.3000000003	1631668.160000001	1509151.2399999986	1565693.44	1322911.8099999998	Chromosome and associated proteins	Brite Hierarchies	Protein families: genetic information processing
ko04713	0.0	104.0	81.25	113.0	136.5	0.0	116.75	123.0	0.0	0.0	87.25	0.0	43.0	935.25	11.5	25.25	6.0	7.5	12.5	59.0	19.5	0.0	0.0	0.0	Circadian entrainment	Organismal Systems	Environmental adaptation
ko00020	608746.3899999999	453712.86999999994	470319.0199999999	661904.4500000002	622931.4999999999	720876.4000000003	543282.4600000002	779021.5199999999	598819.6900000003	322868.81999999995	631000.2300000001	634861.3200000001	516991.75000000006	621907.5700000001	424770.52	519427.8500000001	580481.1799999998	568678.2300000001	586101.4999999999	621956.6600000003	607905.2200000001	564693.6799999999	597685.0900000001	457349.96	Citrate cycle (TCA cycle)	Metabolism	Carbohydrate metabolism
ko05030	15.0	9.5	42.5	0.0	0.0	18.5	39.0	5.0	10.0	15.0	31.33	48.67	10.0	0.4	269.5	30.17	13.33	5.0	12.0	197.5	56.0	1.0	19.0	345.83	Cocaine addiction	Human Diseases	Substance dependence
Cofactor metabolism	26894.030000000002	21484.67	21490.2	24294.7	24798.0	38435.85	22674.56	39555.3	27272.199999999997	20489.45	27920.65	26663.8	18911.1	22071.95	15715.53	22540.75	20863.7	33899.2	23519.699999999997	22023.45	26477.0	20181.6	24815.19	10765.8	Cofactor metabolism	Not Included in Pathway or Brite	Unclassified: metabolism
ko04966	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Collecting duct acid secretion	Organismal Systems	Excretory system
ko05210	843.0	274.0	3215.0	322.0	247.0	0.0	436.0	1106.0	2991.0	43.0	295.0	1137.0	148.0	262.0	180.33	1054.0	851.0	1141.0	503.0	362.0	1580.0	225.0	46.0	221.0	Colorectal cancer	Human Diseases	Cancer: specific types
ko05171	6608.0	0.0	0.0	0.0	0.0	0.0	10990.0	0.0	0.0	0.0	0.0	0.0	0.0	6018.0	672.0	728.0	390.0	1008.0	3388.0	0.0	260.0	680.0	0.0	84.0	Coronavirus disease - COVID-19	Human Diseases	Infectious disease: viral
ko04934	1503.94	1784.12	3729.67	6587.16	1850.77	1698.04	2819.58	2704.76	5228.4	3827.91	8174.13	7103.4	2103.95	4463.07	2246.83	2175.37	1765.87	5625.09	3106.29	2721.67	2430.4	3574.36	5509.16	3123.58	Cushing syndrome	Human Diseases	Endocrine and metabolic disease
ko00460	210423.99000000005	237182.54	209106.08000000002	320592.06999999995	349985.13	411860.23999999993	232933.25	381159.80999999994	334609.48	102548.29000000001	343875.58	319026.70000000007	260230.96000000002	317727.36000000004	196532.30000000002	205318.38	275476.57999999996	247096.41999999998	269487.24	339282.57	304227.9	282872.27999999997	314188.6400000001	212890.08000000002	Cyanoamino acid metabolism	Metabolism	Metabolism of other amino acids
ko00270	996888.87	657562.7300000002	903430.2200000002	969580.9500000002	1017639.52	1075071.5	897312.01	1036034.7500000001	1052771.9300000002	476326.8299999999	1051577.3800000004	1082182.4699999997	947093.2299999999	931499.9500000003	781726.5599999998	826220.74	981823.2999999998	923139.0500000002	859930.9400000004	943188.3800000001	989474.6500000004	965209.7400000001	960552.2499999998	881101.63	Cysteine and methionine metabolism	Metabolism	Amino acid metabolism
ko00199	2.25	29.0	42.5	0.33	0.0	35.5	70.0	5.0	0.0	2.0	26.33	46.67	217.0	5.0	268.5	9.17	8.33	9.0	1.0	196.5	59.0	1.67	70.0	348.83	Cytochrome P450	Brite Hierarchies	Protein families: metabolism
ko04812	360613.75	230160.04	373624.24	331466.33	391081.87	370451.24999999994	297730.3200000001	346689.72000000003	415514.03	125216.58000000003	376338.72	383275.32999999996	378024.23000000004	317037.64	297345.04000000004	311736.06	341742.20999999996	289528.20000000007	254231.34000000003	334195.42000000004	375796.61999999994	350736.57	359553.05000000005	320360.93	Cytoskeleton proteins	Brite Hierarchies	Protein families: signaling and cellular processes
ko00473	86713.61	55606.310000000005	79275.26000000002	85373.21	89079.09000000001	94080.87000000001	76771.32000000004	91321.63	92216.19999999998	55268.52	87120.95000000001	91587.89	83903.08000000003	76438.94	71285.9	76988.54999999999	82977.47	82569.31	79057.73	79284.73999999999	87531.39	82691.74000000003	84642.32999999999	77499.82	D-Alanine metabolism	Metabolism	Metabolism of other amino acids
ko00472	2496.67	821.5	1635.17	4215.33	1398.67	3997.5	996.5	4627.33	924.0	1271.5	520.3299999999999	1754.67	900.0	1000.07	2046.5	1747.67	1241.33	1787.5	1341.75	478.17	1751.5	829.0	638.3299999999998	2192.66	D-Arginine and D-ornithine metabolism	Metabolism	Metabolism of other amino acids
ko00471	132645.76	95898.54000000001	118822.15000000002	135429.81	145547.15000000002	155373.41999999998	119716.91	145465.19000000003	138895.58000000002	54740.25000000001	135525.62	138977.52000000002	125980.91	129976.44	104592.13999999998	111768.52999999997	132864.71	123812.76000000004	116619.51000000001	136842.53	138921.84999999998	132463.74	133625.09999999998	111034.88	D-Glutamine and D-glutamate metabolism	Metabolism	Metabolism of other amino acids
ko03400	2652426.8800000036	1813116.2800000017	2464570.349999999	2533274.4399999995	2721305.440000002	2842243.8800000004	2343117.8000000007	2788757.1000000034	2781260.059999999	1239930.73	2730687.739999997	2784988.0599999963	2517992.830000001	2454758.219999999	2093168.2200000018	2276959.480000002	2536823.500000002	2428703.700000001	2220689.8300000024	2507702.500000002	2695061.8499999987	2583228.989999999	2606897.51	2253731.9700000016	DNA repair and recombination proteins	Brite Hierarchies	Protein families: genetic information processing
ko03030	591064.6699999999	408139.63000000006	539563.62	569023.49	603297.6199999999	643594.6799999999	515451.7000000001	661972.77	602532.58	268639.66	619108.5299999999	614562.7699999999	552987.4000000001	564995.48	459971.58	516806.7399999999	573020.0199999999	544105.9400000001	513554.80000000005	575194.42	605985.1699999999	561626.23	572261.0599999999	497725.08	DNA replication	Genetic Information Processing	Replication and repair
ko03032	1066717.16	799478.2500000001	1005919.96	1105056.08	1192369.8599999996	1228801.9399999997	975970.0900000003	1236170.6400000001	1148974.4200000002	510243.23	1187793.21	1208038.1000000003	1081716.41	1119816.0500000003	879673.71	968655.2399999999	1085357.9199999997	1028879.5299999998	978869.4300000003	1115970.57	1177281.7200000002	1074187.9699999995	1111156.2100000002	970657.0399999999	DNA replication proteins	Brite Hierarchies	Protein families: genetic information processing
ko05414	22.0	214.0	88.5	236.0	284.0	0.0	147.5	246.0	14.0	0.0	184.5	8.0	52.0	1165.5	23.0	59.5	14.0	35.0	25.0	123.0	39.0	6.0	28.0	3.0	Dilated cardiomyopathy	Human Diseases	Cardiovascular disease
ko00621	3232.6499999999996	870.53	5102.5	2695.0	9749.45	1590.1399999999999	5398.719999999999	1635.82	3820.6000000000004	9021.01	10307.23	7090.6	5532.799999999999	3438.52	4965.16	3647.37	2821.3	6845.19	4747.33	3211.0	6297.550000000001	3413.7200000000003	4002.8500000000004	4937.75	Dioxin degradation	Metabolism	Xenobiotics biodegradation and metabolism
ko04990	1111.0	138.0	260.25	134.0	299.5	12.0	568.75	235.17000000000002	39.0	209.0	873.25	1058.0	1416.0	1219.42	886.5	140.25	82.17	371.5	164.5	89.0	81.5	11.0	4.0	62.0	Domain-containing proteins not elsewhere classified	Brite Hierarchies	Protein families: signaling and cellular processes
ko04728	15.0	9.5	42.5	0.0	0.0	18.5	39.0	5.0	10.0	15.0	31.33	48.67	10.0	0.4	269.5	30.17	13.33	5.0	12.0	197.5	56.0	1.0	19.0	345.83	Dopaminergic synapse	Organismal Systems	Nervous system
ko00982	12403.0	18694.629999999997	17203.57	23405.88	26202.02	27115.98	20428.78	42002.590000000004	20421.67	28583.050000000003	17456.34	20458.07	17606.83	19001.320000000003	13168.25	19626.88	16276.57	21499.180000000004	23135.180000000004	24271.83	21948.35	17995.110000000004	22370.649999999998	9760.43	Drug metabolism - cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
ko00983	315664.36	255945.69000000006	288590.17000000004	351628.45999999996	382353.55999999994	429909.70999999996	309230.6500000001	404427.06	376519.24000000005	156852.52000000002	375829.77	379591.00000000006	322708.52	342087.0900000001	265494.24999999994	278854.75999999995	334723.61000000004	327455.10000000003	305220.0299999999	359165.17	363791.58	342646.14	337087.87	298442.52	Drug metabolism - other enzymes	Metabolism	Xenobiotics biodegradation and metabolism
ko04512	22.0	6.0	0.0	10.0	11.0	0.0	0.0	0.0	14.0	0.0	10.0	8.0	0.0	56.0	0.0	9.0	2.0	0.0	0.0	5.0	0.0	6.0	28.0	3.0	ECM-receptor interaction	Environmental Information Processing	Signaling molecules and interaction
ko01521	236.0	0.0	0.0	0.0	0.0	0.0	413.0	0.0	0.0	0.0	0.0	0.0	0.0	231.0	24.0	26.0	14.0	36.0	121.0	0.0	10.0	24.5	0.0	3.0	EGFR tyrosine kinase inhibitor resistance	Human Diseases	Drug resistance: antineoplastic
ko04144	1111.0	34.0	179.0	21.0	163.0	12.0	452.0	112.17	39.0	209.0	786.0	1058.0	1373.0	284.17	875.0	115.0	76.17	364.0	152.0	30.0	62.0	11.0	4.0	62.0	Endocytosis	Cellular Processes	Transport and catabolism
Energy metabolism	244012.85000000018	167647.89999999988	202239.49	227004.02000000002	208605.68000000014	220171.06000000006	211743.7099999999	216500.1400000002	207789.61999999976	127198.76000000001	230117.22000000012	231083.19999999995	208045.67000000022	211269.2099999999	179236.87999999998	195878.54000000012	203860.44000000015	204897.75999999986	172921.16999999995	207433.94000000003	238375.00999999978	224942.77999999994	232629.34999999983	190291.07999999996	Energy metabolism	Not Included in Pathway or Brite	Unclassified: metabolism
Enzymes with EC numbers	2230640.360000002	1846456.3000000012	1952125.790000001	2546304.3600000013	2711070.650000003	3004358.970000001	2181724.220000002	2741873.3000000054	2607538.139999996	1357692.549999998	2681988.259999998	2627898.4699999965	2218633.069999996	2471685.359999997	1753638.7400000007	1914882.1300000006	2386290.819999997	2137034.0200000023	2256950.460000002	2548314.670000002	2481903.2800000035	2365755.519999998	2443883.1199999996	1962010.07	Enzymes with EC numbers	Not Included in Pathway or Brite	Unclassified: metabolism
ko05120	80387.84	54925.33	73093.84000000001	80166.8	84500.58	89129.26	72125.68000000002	92543.94	82863.62000000001	39013.99	79981.92	86091.48000000001	75750.05	76058.94000000002	63340.499999999985	70321.05	79191.43000000001	71861.90999999999	67896.56999999999	76959.49	83470.26	79998.64	78768.23999999998	69076.91	Epithelial cell signaling in Helicobacter pylori infection	Human Diseases	Infectious disease: bacterial
ko05169	843.0	274.0	3215.0	322.0	247.0	0.0	436.0	1106.0	2991.0	43.0	295.0	1137.0	148.0	262.0	180.33	1054.0	851.0	1141.0	503.0	362.0	1580.0	225.0	46.0	221.0	Epstein-Barr virus infection	Human Diseases	Infectious disease: viral
ko04915	41569.73	30265.57	37458.24000000001	41773.73	41266.37	41904.11	35997.37	42738.65	43266.73	16622.520000000004	46058.68	41269.04	36851.41	38637.210000000014	31186.47	35846.08999999998	39261.83	31857.19	34460.87	39821.2	40398.27	40090.52	39642.57	33182.960000000014	Estrogen signaling pathway	Organismal Systems	Endocrine system
ko00565	2892.1	1777.09	2039.17	3825.33	463.1	2492.79	2741.560000000001	268.1	1415.73	3114.49	3184.88	3262.1000000000004	2211.2799999999997	3417.81	2183.17	1554.9499999999996	1926.2	2894.09	2910.29	2972.5	1180.0700000000002	1006.9399999999998	2009.17	2417.83	Ether lipid metabolism	Metabolism	Lipid metabolism
ko00642	281.2	45.58	858.0	816.0	199.2	880.58	2244.06	145.20000000000005	2755.8	5749.82	706.26	418.8	167.4	404.8	211.0	274.54	428.4	2292.18	1195.58	579.0	705.6	369.38	178.8	342.5	Ethylbenzene degradation	Metabolism	Xenobiotics biodegradation and metabolism
ko04147	1363936.0100000007	1063052.6099999996	1218355.6099999999	1495450.3300000008	1620741.8499999996	1762851.41	1254826.03	1721948.2200000007	1539150.4100000001	654419.21	1482033.7599999998	1513323.9599999997	1332397.8100000003	1440603.1900000002	1075838.7899999996	1205844.2399999995	1386832.6100000003	1318978.6999999997	1324663.1300000008	1481599.7300000004	1485852.2500000005	1383364.26	1477834.8199999998	1130724.2900000003	Exosome	Brite Hierarchies	Protein families: signaling and cellular processes
ko03460	472.0	0.0	0.0	0.0	0.0	0.0	826.0	0.0	0.0	0.0	0.0	0.0	0.0	462.0	48.0	52.0	28.0	72.0	242.0	0.0	20.0	49.0	0.0	6.0	Fanconi anemia pathway	Genetic Information Processing	Replication and repair
ko04975	29482.62	6616.27	28280.5	9071.5	9028.2	12878.29	18851.180000000004	9828.04	18239.8	6460.61	17469.16	13903.57	18754.15	11242.04	13841.5	17180.19	20931.4	17021.14	11763.33	9293.0	15384.85	20640.59	10852.13	20133.08	Fat digestion and absorption	Organismal Systems	Digestive system
ko00061	568497.7000000001	448085.5099999999	541801.66	603994.35	678136.3800000001	689186.3499999999	524870.34	664421.14	673463.23	237688.83000000002	618316.75	641674.96	554308.01	598471.2600000001	460074.29	501972.63	579572.7100000001	543488.3799999999	508960.91	613779.0599999999	620252.2300000001	614471.9799999999	634845.5599999998	500056.3899999999	Fatty acid biosynthesis	Metabolism	Lipid metabolism
ko00071	149002.66000000006	116540.29	144405.72	168204.69	166651.30000000002	188721.91	146427.29999999996	189081.02000000005	184728.18	89930.44000000002	162085.89	166513.34999999995	143798.04000000004	155162.32	116007.82	129130.20000000003	153866.42	155629.14999999994	142357.44	166476.43999999997	166568.06999999995	158446.41	168706.63999999993	122129.14000000001	Fatty acid degradation	Metabolism	Lipid metabolism
ko04216	78457.98000000001	94052.66	65871.84	119771.73	118835.29000000001	145607.18	83113.71	152715.61000000002	116507.78000000001	32111.77	107018.01	108066.4	81048.3	121285.78000000003	66908.6	75197.34000000001	96917.89	100871.87999999998	101398.83000000002	128145.64	113636.74999999999	103342.31	109177.80999999997	65728.61	Ferroptosis	Cellular Processes	Cell growth and death
ko02040	635307.6299999995	196601.99	516141.66000000003	154800.07	286949.0300000002	229262.46000000005	421679.07999999996	206600.29000000015	255744.36000000004	171675.03000000012	493737.18000000017	265664.95999999985	432278.03000000026	268088.28	338638.2599999999	358243.6	335054.68	409533.2000000003	250227.1000000001	299441.67000000016	410062.8799999997	368984.4100000001	297411.3699999998	401825.5399999999	Flagellar assembly	Cellular Processes	Cell motility
ko00944	2609.4	6108.8	2801.7	4031.5	5479.5	10857.0	11876.0	5819.549999999998	9090.7	7387.7	17317.41	11945.14	3573.850000000001	7702.4	3136.1	2217.49	11978.76	8292.95	10849.1	11196.75	5475.3	11938.65	4111.2	9661.16	Flavone and flavonol biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
ko00941	234.0	2.0	0.0	5.0	0.0	0.0	3.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	1.0	2.0	Flavonoid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
ko05418	167031.39	120122.0	155401.76	174016.28999999998	186298.72000000003	195177.46000000002	146343.24000000002	180120.94	174645.84000000003	70544.57	180672.90999999997	174050.16	159501.3	162113.79000000004	128861.95	143151.58999999997	159139.22999999998	144200.38	144147.02000000002	171665.03000000003	168062.33999999997	162686.51	169892.77999999997	136467.62	Fluid shear stress and atherosclerosis	Human Diseases	Cardiovascular disease
ko00364	179.8	8.29	1403.0	279.0	10.8	17.29	3000.23	59.40000000000001	569.2	6273.31	8139.03	2310.2000000000003	10.6	37.2	65.0	84.16999999999999	522.6	3161.69	2314.58	726.0	1250.4	110.49	127.2	38.0	Fluorobenzoate degradation	Metabolism	Xenobiotics biodegradation and metabolism
ko04510	22.0	6.0	0.0	10.0	11.0	0.0	0.0	0.0	14.0	0.0	10.0	8.0	0.0	56.0	0.0	9.0	2.0	0.0	0.0	5.0	0.0	6.0	28.0	3.0	Focal adhesion	Cellular Processes	Cellular community - eukaryotes
ko00790	411866.96999999986	355745.7199999999	380948.93999999994	477658.56	493720.2599999998	558658.2900000002	399867.68000000005	586924.2399999998	453916.8800000001	258068.42	510463.8300000001	468696.9300000001	381674.4300000002	455035.4700000001	338929.18	375884.10000000003	441458.53000000014	430152.01000000024	409664.6899999998	477644.8500000001	498902.52999999985	428022.37999999995	475534.05000000005	344684.34	Folate biosynthesis	Metabolism	Metabolism of cofactors and vitamins
ko04068	38627.2	22236.579999999998	23223.9	37579.520000000004	27212.309999999998	30577.239999999998	41902.57	44855.42	29773.100000000002	35235.130000000005	36663.55	31770.78	25543.550000000003	36126.25	23086.54	34350.99	34580.090000000004	28416.47	39271.76000000001	32204.160000000003	32474.690000000002	33450.98000000001	27193.159999999993	25925.75	FoxO signaling pathway	Environmental Information Processing	Signal transduction
ko00051	599754.9099999997	556902.1199999998	533794.75	676188.3500000004	785641.1399999997	890120.71	608549.0000000001	968134.4699999996	739634.1200000003	376142.1299999999	738124.51	764517.1900000005	599297.7199999996	712548.5400000004	500715.4899999999	564545.9700000002	645093.1399999998	635620.7900000004	655691.3200000003	723838.7999999998	702417.3300000007	605715.22	703788.73	524419.7000000001	Fructose and mannose metabolism	Metabolism	Carbohydrate metabolism
Function unknown	1671026.4800000049	1341094.5600000035	1615787.9399999988	1860382.06	2078562.7500000042	2203695.060000002	1667810.250000002	2043382.930000005	2031160.239999996	979459.8600000007	2147153.8599999943	2043424.229999995	1774153.309999998	1819979.3399999947	1441039.7100000016	1500144.1600000015	1761842.8699999985	1670606.0000000033	1598827.2400000035	1876581.780000001	1914855.6700000025	1851148.769999998	1862070.2699999942	1649670.940000001	Function unknown	Not Included in Pathway or Brite	Poorly characterized
ko00365	557.0	51.0	96.0	328.0	258.0	0.0	7.0	449.0	186.0	90.5	305.0	281.0	148.0	314.0	100.0	84.0	194.0	206.0	0.0	5.0	19.0	37.0	39.0	187.0	Furfural degradation	Metabolism	Xenobiotics biodegradation and metabolism
ko04030	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	G protein-coupled receptors	Brite Hierarchies	Protein families: signaling and cellular processes
ko04727	107528.46999999999	95558.34	102219.89999999998	136808.95	149510.55000000002	167749.49000000002	112505.08000000002	131567.94999999998	137356.02000000002	64923.619999999995	129411.37999999999	136109.85	118226.80000000002	133958.5	88509.32	97859.34	128172.6	108904.37999999998	126648.39000000001	145263.15000000002	125352.91999999998	125218.74000000002	130262.81	98038.12000000001	GABAergic synapse	Organismal Systems	Nervous system
ko00052	619888.1799999994	639336.8600000003	634855.09	835925.8700000005	1022652.7100000001	1128169.35	728303.1900000002	1110710.3	957409.5000000003	470748.66999999987	972031.0599999998	942254.2700000004	765677.0699999995	869602.42	579928.88	625806.0699999998	832307.9199999998	722221.1	847545.0500000006	958688.5299999999	848274.5700000009	815539.1599999997	873182.3600000002	661729.3500000001	Galactose metabolism	Metabolism	Carbohydrate metabolism
ko05226	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gastric cancer	Human Diseases	Cancer: specific types
General function prediction only	395956.80999999924	389633.5999999996	354464.57	509563.02000000014	581077.6499999992	620428.7000000005	427260.7100000003	598660.0399999992	538293.6200000007	324528.3299999999	488521.4300000003	493681.65000000066	423076.65000000055	488579.5300000006	334620.79	360226.5400000003	429312.9400000005	477150.72000000044	435862.1799999996	532690.4199999999	523392.89999999956	445253.98000000016	524468.3900000006	336496.67000000004	General function prediction only	Not Included in Pathway or Brite	Poorly characterized
ko00281	694.0	80.45	3938.0	1827.0	411.0	1434.24	5222.38	293.50000000000006	5816.0	15573.259999999998	1400.58	975.0	249.0	744.0	343.0	533.82	1233.0	6578.74	4087.45	692.0	2498.0	669.74	394.0	562.5	Geraniol degradation	Metabolism	Metabolism of terpenoids and polyketides
Global maps only	31443.95	10702.880000000001	31482.67	20854.210000000006	18773.05	16215.75	25753.800000000007	17018.7	24999.160000000003	8032.2	36336.69	28511.31	26637.53	19518.33	22547.09	23068.21	24647.46	16340.630000000001	15284.14	19559.92	21762.57	26647.9	22523.119999999995	27493.99	Global maps only	Metabolism	Not included in regular maps
ko04922	235952.08000000005	146926.19999999998	228650.91000000003	207726.05999999994	258268.01	263101.00000000006	213709.25	240943.76000000007	265178.60000000003	126482.41999999998	250355.72000000003	259700.58000000002	239425.34999999998	216204.6	182972.0	203007.66000000003	228311.28999999998	202986.03000000003	213727.13999999996	227737.01999999996	225302.27	232354.38	230016.19999999995	217235.74000000002	Glucagon signaling pathway	Organismal Systems	Endocrine system
ko00966	78924.98	54341.61	74243.25	75074.05	83293.44	82455.42	71535.76000000004	87673.94	85253.22	34905.37000000001	85790.36	85334.08	75783.85	76495.32	63240.579999999994	70084.45999999999	76812.4	68549.23000000001	67996.74	75679.4	78966.95999999999	78076.04	78783.24999999997	67616.75000000003	Glucosinolate biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
ko04724	97622.31999999999	82707.94	95491.20999999998	116391.87000000001	128190.73000000001	141456.49	97108.27000000002	114676.23	123445.02000000002	51163.81	115555.23	120650.05	105565.84	114242.79	80497.13	88394.39	110992.83	94749.12999999998	105792.66	122137.57	110357.04999999999	110632.11000000002	113183.39	88459.44	Glutamatergic synapse	Organismal Systems	Nervous system
ko00480	138289.31000000003	132498.98	136508.41	181303.34000000003	196980.01000000004	226844.65	149863.63999999998	203054.75000000003	175764.30999999997	102644.72000000003	177774.71000000005	174279.48999999996	141261.58	165689.22	113285.12000000001	120643.20000000001	144370.1	174601.35999999996	151529.93999999997	178264.61	179462.25	144995.69	176430.20999999993	114294.61	Glutathione metabolism	Metabolism	Metabolism of other amino acids
Glycan metabolism	42487.88	33247.69000000001	52004.54000000001	42550.82000000001	56748.2	54656.49	52728.38	45839.65	67656.79000000001	29439.78	60821.48	62586.77	49520.509999999995	49455.64	41337.880000000005	42874.700000000004	50784.13	48719.53	42560.340000000004	45194.619999999995	58379.19	58421.479999999996	47104.67	51709.96000000001	Glycan metabolism	Not Included in Pathway or Brite	Unclassified: metabolism
ko00561	253903.83000000005	172979.60999999993	270648.56000000006	252303.55	287502.8	283131.7899999999	259761.56999999995	276503.7299999999	324297.08999999997	144951.93	293579.05999999994	303946.37000000005	275753.92000000004	242056.28000000006	220386.49	229033.25	259790.75000000003	237111.79000000007	222598.69	263887.86	263798.20999999996	270525.43000000005	287331.8900000001	250636.34000000003	Glycerolipid metabolism	Metabolism	Lipid metabolism
ko00564	400840.31	301605.62	399625.04000000004	400633.71	419817.8900000001	443941.35000000003	377239.4600000001	434377.7	454739.1200000001	234700.76000000004	455012.2500000001	440936.5800000001	406286.54000000004	424847.72	327001.06	360381.54	432958.29000000004	382119.48000000004	360671.7	416960.51	467563.38999999996	402637.24000000017	417031.86000000004	363205.9699999999	Glycerophospholipid metabolism	Metabolism	Lipid metabolism
ko00260	891976.6399999998	623629.5199999998	788409.1000000001	849474.7600000002	931069.5599999999	1015577.7800000001	773919.9900000007	1034787.3799999997	928121.9700000002	432033.44999999995	889746.3300000004	899241.2300000003	803841.35	845115.5600000005	655208.8700000001	754187.1800000002	843918.7599999999	823610.5500000002	783676.8800000002	871834.1099999999	900924.3600000002	830064.76	853980.2800000001	694034.37	Glycine, serine and threonine metabolism	Metabolism	Amino acid metabolism
ko00010	1075528.6900000002	780565.8500000004	963725.3200000003	1075742.7599999995	1210820.28	1292395.7899999998	1008575.4100000001	1262744.590000001	1159694.3600000003	561501.7	1171518.1699999997	1222946.8399999996	1027525.9999999992	1097978.4600000002	828283.6000000001	936389.8500000001	1103109.2899999996	1041512.2999999997	1029415.8300000002	1127664.2699999998	1112103.330000001	1071332.0399999998	1092638.6300000001	943127.8499999996	Glycolysis / Gluconeogenesis	Metabolism	Carbohydrate metabolism
ko00536	6899.58	9548.0	4145.17	17746.0	20992.42	21970.0	15344.779999999999	25962.0	11065.67	10859.33	8741.0	15717.0	8858.83	13257.58	6593.5	10283.27	12519.0	10818.5	15916.83	17580.83	10508.6	10977.33	14343.1	6693.5	Glycosaminoglycan binding proteins	Brite Hierarchies	Protein families: signaling and cellular processes
ko00531	110845.51999999999	123706.24	74151.33999999998	182634.62	194748.76	233556.33	133295.38	243164.84	147929.83	124624.93000000001	151290.3	142708.61	113711.31000000001	163492.81999999998	84674.89000000001	122922.73000000001	130342.90000000001	116707.22999999998	198403.72999999998	189334.53999999998	129117.13	133026.66	147377.40000000002	82574.26	Glycosaminoglycan degradation	Metabolism	Glycan biosynthesis and metabolism
